Period No.,Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,8:00 am - 9:00 am,,,,,BADLT JAK 502 ,
2,9:00 am - 10:00 am,Major Project II ,Major Project II ,,,BADLT FAK 502 ,
3,10:00 am - 11:00 am,B&DLT AK 504 ,B&DLT AK 503 ,Major Project II ,"UID/SN 508, CCS-/SK 514, ERP-SRS 504 ",Major Project II ,"PM-HM, FM-PBM, IPR-/AB "
4 & 5,11:00 am - 1:00 pm,CCL A/SK 504 ,"RL-SS 501, KM-LK 514, BDA-MB 509 ",Major Project II ,"B&DLTA/AK 504, CCL B/RN 520 ","UID-SN 508, CCS-/SK 213,514, ERP-SRS 513 ",
6,1:00 pm - 2:00 pm,,,BREAK ,,,
7 & 8,2:00 pm - 4:00 pm,"CCL A/SK 521, B & DLT B/AK 520 ","UID/SN 508, CCS-/SK 514, ERP-SRS 513 ",,"PM-HM 319, FM-PBM 513, EVM-RK 509, IPR-/AH 306 ",CCL BARN 521 ,
9 & 10,4:00 pm - 6:00 pm,"RL-SS 401, KM-LK 514, BDA-MB 509, RL-Tut SS 401, KM-Tut LK 514, BDA-Tut MB 509 ","Honours, Honours Tut ",Major Project II ,Honours ,Major Project II ,EVM-RK 
